id;altura;ano_de_construccion;balcon_terraza;banos;categoria;costos_de_mantenimiento;direccion_exacta;enviado;localizacion;m2;m2.1;m2_de_construccion;niveles;parking;piscina;piso_numero;precio;precio_m2_de_construccion;precio_m2_de_terreno;precio_m2;recamaras;tamano_del_lote;tipo_de_pisos;description;feature;land_sq_meter;title
13803422;;NA;;2.5;;NA;;;;;NA;210;NA;4;;;NA;;;;;;;;Cerca de Escuela  Pet Friendly  Parking bajo techo  Parking de visitas  Cuarto y bano de empleada;NA;
13810090;;NA;;2.5;Casas;NA;;15/10/2020;Sabanilla;;NA;265;NA;2;;;375000;1,415.09;;;4;;;"Casa en Sabanilla  500 metros de la facultad de odontologia de la UCR o de 2 kilometros de la Rotonda de la bandera  

Todo el 4to piso es la casa  
Super seguro  El edificio esta dentro del un residencial privado con seguridad las 24 horas  Al 4to piso solo pueden acceder los duenos de la casa  Un tipo penthouse muy seguro y privado  

Amplia bodega cerrada y privada  
Cochera para dos vehiculos  

Caracteristicas de la casa  

 Espacio diafono  
 Puerta principal 100  metal con llavin con codigo de acceso 
 Amplio mueble en la entrada  zapaterau otro   Se puede transformar  
 Amplia sala comedor con hermosa vista  
 Hermosa y elegante cocina concepto irlandes con desayunador grande  lleva sobre de cuarzo estelar blanco SILESTONE con incrustaciones de vidrio y espejo  muebles hidrofugo  doble alacena  una es bastante grande   se usa como oficina pequena actualmente   amplio mueble  elegantes luces decorativas  detalles en veneciano  
 Oficina   actualmente salita de juegos  
 Cuarto de pilas
 Cuarto de coser u otros o planchar  
 4 habitaciones  Una de ellas en un tipo de azotea  Funcional como salita de TV  oficina o una 4ta habitacion  Esta area da una  hermosa pasarela  ubicada en techo con una vista espectacular y un ambiente que se disfruta mucho  Celajes espectaculares y las luna llena se aprecia al maximo  
 Habitacion principal amplia con walk in closet  bano privado con jacuzzi  sobres de cuarzo  lozas sanitaria italiana  enchapes espanoles a toda la altura de la pared  
 Balcon y terraza unidos con hermosa vista hacia la naturaleza y celajes espectaculares  Vidrios de lujo temperadas en baranda  
 Segundo balcon privado en la entrada  Puede usarse como huerta o jardin  
 Paredes livianas con gran posibilidad de faciles cambios en la distribucion para ampliar o disminuir areas  
 Ventaneria AKARI 
 Luz LED 
 Doble calentador solar europeo  
 Excelente iluminacion y ventilacion  
 Piso en porcelanato rectagular  
 Rodapie en porcelanato  
 Tranquilidad asegurada en un ambiente sumamente fresco  agradable y tranquilo  
 2 5 banos  Todos con cacheras expuestas  cuarzo en los sobres  muebles hidrofugos  puertas de lujo de vidrio temperado y samblasteado ";;NA;Casas en Sabanilla   Sabanilla  En caso de alquiler 2 900  Incluye agua  luz y cuota de mantenimiento 
13963045;;2017;terraza;4.5;;120;La Guacima  Alajuela;;;;NA;420;2;4;no;;NA;950.00;309.30;;4;1290;Porcelanato;;Cerca de Escuela  Pet Friendly;NA;
14027803;;2010;balcon;3;Casas;NA;Urbanizacion Los Metates San Rafael de Alajuela;31/10/2020;San Rafael;;NA;NA;NA;;;2;139344.26229508198;₡566,666;₡298,245;;3;285;Ceramica;"La casa tiene 187m2 de terreno y 145m2 de construccion  En el frente tiene cochera para 2 autos y 2 pequenos jardines delanteros a cada lado de la cochera 

En el primer piso tiene un amplio salon comedor con puerta de vidrio al jardin trasero o patio  1 2 bano para visitas  una bodega  cocina con sus muebles y sobres de granito  desayunador  fregadero doble  cuarto de pilas y patio o jardin 

En el segundo piso tiene 3 habitaciones  
1  Dormitorio principal con bano completo y walking closet 
2  Dormitorio con su closet con puertas de espejo 
3  Habitacion amplia abierta que puede transformase en un tercer dormitorio
4  Ademas  un espacio para oficina y otro bano completo 

El Condominio cuenta entre las areas comunes con piscinas temperadas  jacuzzi  gimnasio  varios parques de juegos para ninos  un parque de mascotas y una cancha multi uso  Barlovento es un lugar muy especial y agradable para vivir 

El costo mensual del mantenimiento es de 158 La casa tiene un precio de 175 000  La casa esta como nueva  fue terminada de construir en 2014 y solo la habito una persona ";;NA;Casas en La Union Tres Rios   VENTA DE CONDOMINIO EN BARLOVENTO   CONCEPCION DE TRES RIOS
14147809;;2016;;2.5;Casas;197;Brasil de Santa Ana;29/10/2020;San Joaquin;;NA;158;NA;2;;;189900;1,201.89;1,201.89;;3;158;Porcelanato;"Excelente oportunidad de vivir en un ambiente tranquilo y estrategicamente ubicado cerca de las principales vias de la ciudad  Hermosa casa muy iluminada  ventilada  con arquitectura moderna y excelentes acabados  Cuenta con dos pisos  en el primero se encuentra amplia sala  comedor  hermosa cocina con muebles italianos y sobres en cuarzo  desayunador  cuarto de pila  medio bano de visitas y patio con linda area verde 

El condominio cuenta con excelentes areas comunes  piscina  casa club  gimnasio y un agradable clima 

Un lugar sin duda donde podra disfrutar usted y su familia ";;NA;Casas en Santa Ana   Venta de Casa Santa Ana   Gran oportunidad 
14213840;;NA;;2.5;Casas;NA;;;Santa Ana;;NA;200;NA;2;;;235000;1,175.00;;;3;;;Vendo linda casa en condominio en Santa Ana  zona residencial muy segura y tarnquila  condominio familiar y acogedor  Tiene 3 hab  2 5 banos  oficina  cuarto de pilas  cuarto de juegos  terraza amplia  cocina  sala y comedor amplios  cocina con sobre de granito  Banos con sobre de marmol  Cuarto principal amplio con techos altos y bano con jacuzzi  garage para 2 vehiculos  El condominio cuenta con areas verdes  piscina con rancho  plays para ninos  tiene excelente ubicacion  cerca de amenidades  farmacias  escuelas  supermercados  comercios y otros  Es una zona residencial  Se vende con o sin muebles y o linea blanca;;NA;Casas en Santa Ana   vendo casa en condominio 3hb  Santa Ana
14216098;;NA;terraza;1.5;;NA;;;;;NA;96;2;2;no;1;NA;;;;2;;Ceramica;"Descripcion 
Amplio y Hermoso Condominio en Excelente Ubicacion  
El mismo cuenta con una iluminacion y ventilacion muy favorable en todas sus areas  
Consta de 2 habitaciones  1 bano completo y medio de visitas  sala comedor  cocina con sobre de granito  area de lavanderia amplio  oficina y 2 espacios de parqueo  
Mide  96m2 de Construccion  

Seguridad 24 horas  
Zona Tranquila y Segura  
Cerca de Plaza del Sol  
Precio de Venta   90 000
Amenidades
Incluye Agua
Toma 220w para Secadora
Tanque de Agua Caliente de Paso
Sobres de Granito
Seguridad 24 7
Porton Electrico
Pisos en ceramica
Pet Friendly
Oficina
Iluminacion y Ventilacion Natural
Cuarto de pilas
Cocina
Cerca de Universidades
Cerca de Paradas de Bus
Cerca de Escuelas y Colegios Privados
Cerca de Colegios y Escuelas Publicas
Cerca de Centros Comerciales
Centrico
Alacena
Acceso Asfaltado";Dispensador de agua caliente  Calentador de agua;NA;Casas en Ciudad Curridabat   Condominio de 2 Habitaciones en Curridabat Codigo  M441
14532253;;NA;;;Casas;NA;;;;;NA;155;NA;;;;NA;;;;;;;"Hermosa casa  ubicada en Sa Francisco de Heredia  a solo 1km de oxigeno  cercano a bancos  supermercados  tiendas  restaurantes  universidades  zonas Francas  facil acceso a transporte publico   Tren  buses San Jose  Alajuela   
El condominio es muy seguro  con amplias arreas comunes  Piscinas  ranchos de bbq  cancha multiusos  juegos infantiles 
Financiamiento bancario disponible  prima desde el 10 
La casa esta como nueva  lindos acabados";Cerca de Escuela  Pet Friendly  Cerca del Trafico  Parking de visitas  Seguridad 24 Horas  Salon de fiestas  Jardin  Parque Infantil  Desayunador  Garaje techado  Sala y Comedor  Area Social  Walk in closet  Area de BBQ;NA;Casas en San Francisco   Se vende linda casa Excelente ubicacion
14845192;;NA;;1;Casas;NA;;26/10/2020;San Joaquin;;NA;60;NA;2;;;185000;840.90;;;3;;;PARA ESTRENAR    Venta o Alguiler  de Casa en Residencial Colinas del Viento   cochera 2 carros    Seguridad las 24 horas RanchoBBQ con actividades para juegos infantiles 5 parques recreativos Planta de tratamiento para aguas negras Ubicado a 10 minutos Walmart  City Mall  Autopista General Canas y Aeropuerto  El lote mide 250m2  Para informacion 88751603 BRAND NEW    Sale of House in Residencial Colinas del Viento  24 hour security BBQ with activities for children s games 5 recreational parks Sewage treatment plant Located 10 minutes from Walmart  City Mall  General Canas Highway and Airport  The lot measures 250m2  For information 88751603    60mts de construcion y 250mts El lote     Venta o alguiler  88751603;;NA;Casas en Rio Segundo   Alajuela  venta o alguiler
15162388;;2016;;;Casas;NA;Condominio Natura Viva;25/10/2020;Guacima;;NA;NA;2;;si;;137900;1,021.48;545.05;;;253;Porcelanato;;;NA;
